cement,slag,silica_fume,limestone_powder,quartz_powder,fly_ash,nano_silica,aggregate,water,fiber,superplasticizer,temperature,age,compressive_strength
426.3,0,0,263.7,175.9,0,13.2,1273.4,175.8,0,43.9,21,7,68.82
675,75,144,0,0,200,0,990,182,0,38,20,3,68.9
545.875,0,0,0,0,0,4.125,1820,137.5,0,9.9,21,7,69
421.9,0,0,263.7,175.9,0,17.6,1273.4,175.8,0,43.9,21,7,69.13
720,0,180,0,0,0,0,1303.2,180,0,10.8,23,7,69.2
850,0,150,0,0,0,0,1181.5,200,0,10.03,23,7,69.37
712,0,80,0,0,0,8,1400.3,160,0,37.6,23,1,69.4
825.8,0,192.3,486.2,0,0,0,444.4,201.4,0,10.5,23,1,70.14
720,0,180,0,0,0,0,1296,180,0,12.6,23,7,70.24
375,375,144,0,0,200,0,990,182,0,30,20,7,70.3
435.1,0,0,263.7,175.9,0,4.4,1273.4,175.8,195,43.9,21,3,70.35
756.5,0,133.5,0,0,0,0,1231,178,0,30.2,21,1,70.5
890,0,0,0,0,0,0,1231,178,0,30.2,21,1,70.7
541.75,0,0,0,0,0,8.25,1748,165,0,8.25,21,90,70.8
550,0,0,0,0,0,0,1830,137.5,0,6.6,21,7,71.6
545.875,0,0,0,0,0,4.125,1754,165,0,6.6,21,90,71.9
720,0,180,0,0,0,0,1353.6,162,0,10.8,23,7,72
850,0,150,0,0,0,0,1173,200,0,11.99,23,7,72.3
541.75,0,0,0,0,0,8.25,1748,165,0,8.25,21,28,72.6
1009,0,0,0,0,0,0,1231,201.8,0,34.2,21,1,72.8
430.7,0,0,263.7,175.9,0,8.8,1273.4,175.8,195,43.9,21,3,72.84
850,0,150,0,0,0,0,1173,200,0,14.03,23,7,72.88
800,0,200,0,0,0,0,1160,200,0,12,23,7,73.1
845.5,0,44.5,0,0,0,0,1231,178,0,30.2,21,1,73.2
1009,0,0,0,0,0,0,1231,201.8,0,34.2,21,1,73.2
700,0,50,0,0,150,0,1104,180,78,30,20,1,73.8
550,0,0,0,0,0,0,1762,165,0,3.85,21,90,74.3
850,0,150,0,0,0,0,1224,180,0,11.99,23,7,74.63
541.75,0,0,0,0,0,8.25,1812,137.5,0,12.65,21,7,75
863,0,216,0,0,0,0,1079,177,0,21.6,23,3,75.05
545.875,0,0,0,0,0,4.125,1754,165,0,6.6,21,90,75.1
776,0,0,0,0,0,24,1409.7,160,0,43.2,23,1,75.6
863.2,0,215.8,0,0,0,0,1079,177,0,21.6,20,3,75.6
325.3,0,75.7,1058.2,0,0,0,455.4,201.4,0,5.2,23,7,75.62
801,0,89,0,0,0,0,1231,178,0,30.2,21,1,75.7
534,0,0,0,0,356,0,1231,178,0,30.2,21,7,75.8
741,0,185,64.75,194.25,0,0,815,185,156,9,30,1,76
545.875,0,0,0,0,0,4.125,1820,137.5,0,9.9,21,7,76
541.75,0,0,0,0,0,8.25,1748,165,0,8.25,21,90,76.9
435.1,0,0,263.7,175.9,0,4.4,1273.4,175.8,0,43.9,21,28,77.01
845.5,0,44.5,0,0,0,0,1231,178,0,30.2,21,1,77.8
716,0,80,0,0,0,4,1411.6,160,0,33.6,23,1,77.8
417.5,0,0,263.7,175.9,0,22,1273.4,175.8,195,43.9,21,3,77.82
784,0,0,0,0,0,16,1430.2,160,0,36,23,1,77.9
558.1,62,114.2,0,0,164.9,0,1276.6,161.9,156,36,20,1,77.9
741,0,185,129.5,129.5,0,0,815,185,156,9,30,1,78
450,300,144,0,0,200,0,990,182,0,34,20,7,78
426.3,0,0,263.7,175.9,0,13.2,1273.4,175.8,195,43.9,21,3,78.44
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,0,45.9,21,7,78.52
792,0,0,0,0,0,8,1450.8,160,0,28.8,23,1,78.9
432,216,216,0,0,216,0,923,177,0,32.4,20,7,79.2
421.9,0,0,263.7,175.9,0,17.6,1273.4,175.8,195,43.9,21,3,79.69
958.55,0,50.45,0,0,0,0,1231,201.8,0,34.2,21,1,80.1
430.7,0,0,263.7,175.9,0,8.8,1273.4,175.8,0,43.9,21,28,81.1
857.8,0,215.8,0,0,0,5.4,1079,177,0,21.6,20,3,81.7
841.6,0,215.8,0,0,0,21.6,1079,177,0,21.6,20,3,81.7
720,0,80,0,0,0,0,1422.9,160,0,29.6,23,1,81.8
741,0,185,194.25,64.75,0,0,815,185,156,9,30,1,82
741,0,185,259,0,0,0,815,185,0,9,30,1,82
858,0,216,0,0,0,5.4,1079,177,0,21.6,23,3,82.07
842,0,216,0,0,0,21.6,1079,177,0,21.6,23,3,82.09
750,0,144,0,0,200,0,990,182,0,38,20,3,82.3
525,225,144,0,0,200,0,990,182,0,36,20,7,82.3
796,0,0,0,0,0,4,1461.1,160,0,25.2,23,1,82.8
1251.2,0,291.3,0,0,0,0,407.8,201.4,0,28.2,23,1,82.81
700,0,50,0,0,150,0,1104,180,117,30,20,1,83.2
545.875,0,0,0,0,0,4.125,1820,137.5,0,9.9,21,28,83.6
863.2,0,215.8,0,0,0,0,1079,177,0,21.6,20,7,83.7
696,0,80,0,0,0,24,1359.2,160,0,52,23,3,84.3
600,150,144,0,0,200,0,990,182,0,36,20,7,84.3
541.75,0,0,0,0,0,8.25,1812,137.5,0,12.65,21,28,84.7
541.75,0,0,0,0,0,8.25,1812,137.5,0,12.65,21,28,85
852.4,0,215.8,0,0,0,10.8,1079,177,0,21.6,20,3,85.1
852,0,216,0,0,0,10.8,1079,177,0,21.6,23,3,85.12
704,0,80,0,0,0,16,1379.8,160,0,44.8,23,3,85.3
550,0,0,0,0,0,0,1830,137.5,0,6.6,21,28,85.5
874.9,0,43.7,0,0,0,0,1273.4,202.1,0,45.9,21,7,85.91
699.9,0,43.7,0,175,0,0,1273.4,202.1,0,45.9,21,7,85.91
594.2,0,0,265.3,0,0,24.8,1282.3,176.9,0,44.2,21,7,86.11
712,0,80,0,0,0,8,1400.3,160,0,37.6,23,3,86.3
417.5,0,0,263.7,175.9,0,22,1273.4,175.8,0,43.9,21,28,86.46
545.875,0,0,0,0,0,4.125,1820,137.5,0,9.9,21,28,86.7
647,216,216,0,0,0,0,923,177,0,32.37,20,7,86.7
847,0,215.8,0,0,0,16.2,1079,177,0,21.6,20,3,87.8
847,0,216,0,0,0,16.2,1079,177,0,21.6,23,3,87.88
716,0,80,0,0,0,4,1411.6,160,0,33.6,23,3,87.9
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,0,45.9,21,28,88.59
426.3,0,0,263.7,175.9,0,13.2,1273.4,175.8,0,43.9,21,28,88.66
700,0,50,0,0,150,0,1104,180,156,30,20,1,88.8
863,0,216,0,0,0,0,923,177,0,32.37,20,7,88.9
700,0,50,0,0,150,0,1104,180,195,30,20,1,89.7
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,39,45.9,21,7,89.93
545.875,0,0,0,0,0,4.125,1820,137.5,0,9.9,21,90,90
675,75,144,0,0,200,0,990,182,0,38,20,7,90
439.5,0,0,263.7,175.9,0,0,1273.4,175.8,195,43.9,21,7,90.89
829,0,216,0,0,0,34.5,923,177,0,32.39,20,7,91.1
620.2,0,114.2,0,0,164.9,0,1277.5,161.9,156,36,20,1,91.1
421.9,0,0,263.7,175.9,0,17.6,1273.4,175.8,0,43.9,21,28,91.18
720,0,80,0,0,0,0,1422.9,160,0,29.6,23,3,91.2
541.75,0,0,0,0,0,8.25,1812,137.5,0,12.65,21,90,91.2
800,0,0,0,0,0,0,1471.3,160,0,21.6,23,1,92.2
863,0,216,0,0,0,0,1079,177,0,21.6,23,7,92.48
541.75,0,0,0,0,0,8.25,1812,137.5,0,12.65,21,90,92.6
857.8,0,215.8,0,0,0,5.4,1079,177,0,21.6,20,7,92.6
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,78,45.9,21,7,92.62
809,0,270,0,0,0,0,1079,177,0,21.6,20,7,92.77
858,0,216,0,0,0,5.4,1079,177,0,21.6,23,7,92.79
667.5,0,44.5,0,0,178,0,1231,178,0,30.2,21,7,92.8
550,0,0,0,0,0,0,1830,137.5,0,6.6,21,90,93.8
472,315,262,0,0,0,0,1049,178,0,21,20,7,94.3
700,0,50,0,0,150,0,1104,180,0,30,20,7,94.4
776,0,0,0,0,0,24,1409.7,160,0,43.2,23,3,94.5
472,315,262,0,0,0,0,1049,178,0,21,23,7,94.5
435.1,0,0,263.7,175.9,0,4.4,1273.4,175.8,195,43.9,21,7,94.63
545.875,0,0,0,0,0,4.125,1820,137.5,0,9.9,21,90,95
784,0,0,0,0,0,16,1430.2,160,0,36,23,3,95.4
890,0,0,0,0,0,0,1231,178,0,30.2,21,7,95.7
712,0,178,0,0,0,0,1231,178,0,30.2,21,7,95.9
700,0,50,0,0,150,0,1104,180,39,30,20,7,96.3
430.7,0,0,263.7,175.9,0,8.8,1273.4,175.8,195,43.9,21,7,96.5
756.5,0,133.5,0,0,0,0,1231,178,0,30.2,21,7,96.8
890,0,0,0,0,0,0,1231,178,0,30.2,21,7,97.4
472,315,262,0,0,0,0,1049,178,0,21,20,28,97.8
325.3,0,75.7,1058.2,0,0,0,455.4,201.4,0,5.2,23,14,97.84
472,315,262,0,0,0,0,1049,178,0,21,23,28,98.3
594.2,0,0,265.3,0,0,24.8,1282.3,176.9,0,44.2,21,28,98.89
417.5,0,0,263.7,175.9,0,22,1273.4,175.8,195,43.9,21,7,98.99
712,0,0,0,0,178,0,1231,178,0,30.2,21,7,99.2
792,0,0,0,0,0,8,1450.8,160,0,28.8,23,3,99.3
699.9,0,43.7,0,175,0,0,1273.4,202.1,39,45.9,21,7,99.33
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,117,45.9,21,7,100
750,0,144,0,0,200,0,990,182,0,38,20,7,100.1
796,0,0,0,0,0,4,1461.1,160,0,25.2,23,3,100.2
874.9,0,43.7,0,0,0,0,1273.4,202.1,0,45.9,21,28,100.67
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,39,45.9,21,28,100.67
426.3,0,0,263.7,175.9,0,13.2,1273.4,175.8,195,43.9,21,7,100.86
777,0,155,233,0,0,0,816,169,78,40.64,23,3,101.09
623,0,0,0,0,267,0,1231,178,0,30.2,21,7,101.2
933,0,233,0,0,0,0,1026,168,0,37.6,23,28,101.4
756.75,0,50.45,0,0,201.8,0,1231,201.8,0,34.2,21,7,101.5
800,0,200,0,200,0,0,880,200,0,9.6,20,7,101.5
852,0,216,0,0,0,10.8,1079,177,0,21.6,23,7,101.64
852,0,216,0,0,0,10.8,923,177,0,32.36,20,7,101.9
699.9,0,43.7,0,175,0,0,1273.4,202.1,78,45.9,21,7,102.01
852.4,0,215.8,0,0,0,10.8,1079,177,0,21.6,20,7,102.1
696,0,80,0,0,0,24,1359.2,160,0,52,23,7,102.2
1009,0,0,0,0,0,0,1231,201.8,0,34.2,21,7,102.3
801,0,89,0,0,0,0,1231,178,0,30.2,21,7,102.6
534,0,0,0,0,356,0,1231,178,0,30.2,21,28,102.6
558.1,62,114.2,0,0,164.9,0,1276.6,161.9,156,36,20,3,102.7
784,0,157,235,0,0,0,823,171,0,39.66,23,3,102.73
1009,0,0,0,0,0,0,1231,201.8,0,34.2,21,7,102.8
958.55,0,50.45,0,0,0,0,1231,201.8,0,34.2,21,7,102.8
700,0,50,0,0,150,0,1104,180,78,30,20,7,102.8
841.6,0,215.8,0,0,0,21.6,1079,177,0,21.6,20,7,102.8
792,0,264,0,0,0,0,1056,173,156,21.1,20,3,102.86
432,216,216,0,0,216,0,923,177,0,32.4,20,28,103
842,0,216,0,0,0,21.6,1079,177,0,21.6,23,7,103.18
421.9,0,0,263.7,175.9,0,17.6,1273.4,175.8,195,43.9,21,7,103.35
863.2,0,215.8,0,0,0,0,1079,177,0,21.6,20,28,103.5
863,0,216,0,0,0,0,923,177,156,32.37,20,7,103.7
863,0,216,0,0,0,0,1079,177,0,21.6,23,28,103.81
800,0,0,0,0,0,0,1471.3,160,0,21.6,23,3,103.9
863,0,216,0,0,0,0,923,177,0,32.37,20,28,104.1
950,0,255,0,0,0,0,873,189,0,31,23,7,104.2
720,0,80,0,0,0,0,1422.9,160,0,29.6,23,7,104.3
716,0,80,0,0,0,4,1411.6,160,0,33.6,23,7,105.1
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,156,45.9,21,7,105.37
847,0,215.8,0,0,0,16.2,1079,177,0,21.6,20,7,105.5
700,0,50,0,0,150,0,1104,180,0,30,20,28,105.6
845.5,0,44.5,0,0,0,0,1231,178,0,30.2,21,7,105.7
784,0,261,0,0,0,0,1045,171,234,20.9,20,3,106
809,0,270,0,0,0,0,1079,177,0,21.6,20,28,106
845.5,0,44.5,0,0,0,0,1231,178,0,30.2,21,7,106.1
712,0,80,0,0,0,8,1400.3,160,0,37.6,23,7,106.2
847,0,216,0,0,0,16.2,1079,177,0,21.6,23,7,106.22
890,0,0,0,0,0,0,1231,178,0,30.2,21,28,106.3
874.9,0,43.7,0,0,0,0,1273.4,202.1,39,45.9,21,7,106.71
699.9,0,43.7,0,175,0,0,1273.4,202.1,39,45.9,21,28,106.71
776,0,0,0,0,0,24,1409.7,160,0,43.2,23,7,106.9
704,0,80,0,0,0,16,1379.8,160,0,44.8,23,7,107.1
960,0,240,0,0,0,0,793.7,234,0,45,23,7,107.6
800,0,0,0,0,0,0,1471.3,160,0,21.6,23,7,108
858,0,216,0,0,0,5.4,1079,177,0,21.6,23,28,108.09
472,315,262,0,0,0,0,1049,178,156,21,20,7,108.3
857.8,0,215.8,0,0,0,5.4,1079,177,0,21.6,20,28,108.3
800,0,200,0,100,0,0,980,200,0,9.6,20,7,108.6
796,0,0,0,0,0,4,1461.1,160,0,25.2,23,7,108.7
874.9,0,43.7,0,0,0,0,1273.4,202.1,78,45.9,21,7,108.73
699.9,0,43.7,0,175,0,0,1273.4,202.1,117,45.9,21,7,108.73
937,0,70,47,0,164,0,851,164,78,36.82,23,3,108.74
890,0,0,0,0,0,0,1231,178,0,30.2,21,56,108.8
472,315,262,0,0,0,0,1049,178,156,21,23,7,108.8
680,0,120,0,0,0,0,1421.2,176,0,9.59,23,28,108.88
792,0,0,0,0,0,8,1450.8,160,0,28.8,23,7,109
647,216,216,0,0,0,0,923,177,0,32.37,20,28,109
647,0,216,0,0,216,0,923,177,0,32.37,20,28,109
784,0,0,0,0,0,16,1430.2,160,0,36,23,7,109.2
941.5,0,255,0,0,0,9.5,873,189,0,31,23,7,109.8
712,0,0,0,0,178,0,1231,178,0,30.2,21,28,109.9
630,0,220,0,0,270,0,994,163,156,40,23,7,110
842,0,216,0,0,0,21.6,1079,177,0,21.6,23,28,110.25
712,0,0,0,0,178,0,1231,178,0,30.2,21,56,110.3
841.6,0,215.8,0,0,0,21.6,1079,177,0,21.6,20,28,110.3
800,0,267,0,0,0,0,1067,175,78,21.3,20,7,110.42
874.9,0,43.7,0,0,0,0,1273.4,202.1,117,45.9,21,7,110.74
534,0,0,0,0,356,0,1231,178,0,30.2,21,56,110.9
777,0,155,233,0,0,0,816,169,78,40.64,23,14,110.93
712,0,178,0,0,0,0,1231,178,0,30.2,21,28,111
741,0,185,129.5,129.5,0,0,815,185,156,9,30,3,111
800,0,200,0,0,0,0,1080,200,0,14.4,20,7,111
594.2,0,0,265.3,0,0,24.8,1282.3,176.9,156,44.2,21,7,111.11
800,0,100,0,200,0,0,980,200,0,9.6,20,7,111.4
776,0,0,0,0,0,24,1409.7,160,0,43.2,23,14,111.5
680,0,120,0,0,0,0,1468.8,160,0,8.02,23,28,111.51
594.2,0,0,265.3,0,0,24.8,1282.3,176.9,156,44.2,21,7,112.22
847,0,215.8,0,0,0,16.2,1079,177,0,21.6,20,28,112.3
800,0,0,0,0,0,0,1471.3,160,0,21.6,23,14,112.4
932,0,255,0,0,0,19,873,189,0,31,23,7,112.6
847,0,216,0,0,0,16.2,1079,177,0,21.6,23,28,112.68
1251.2,0,291.3,0,0,0,0,407.8,201.4,0,28.2,23,3,112.692
667.5,0,44.5,0,0,178,0,1231,178,0,30.2,21,28,112.8
796,0,0,0,0,0,4,1461.1,160,0,25.2,23,14,113.1
890,0,0,0,0,0,0,1231,178,0,30.2,21,28,113.2
640,0,160,0,0,0,0,1446.4,160,0,9.6,23,28,113.2
852,0,216,0,0,0,10.8,923,177,0,32.36,20,28,113.3
325.3,0,75.7,1058.2,0,0,0,455.4,201.4,0,5.2,23,28,113.34
900,0,110,0,0,110,0,1036,163,156,40,23,7,113.5
852,0,216,0,0,0,10.8,1079,177,0,21.6,23,28,113.58
852.4,0,215.8,0,0,0,10.8,1079,177,0,21.6,20,28,113.7
1009,0,0,0,0,0,0,1231,201.8,0,34.2,21,28,113.8
890,0,0,0,0,0,0,1231,178,0,30.2,21,56,113.8
667.5,0,44.5,0,0,178,0,1231,178,0,30.2,21,56,113.8
620.2,0,114.2,0,0,164.9,0,1277.5,161.9,156,36,20,3,113.8
594.2,0,0,265.3,0,0,24.8,1282.3,176.9,156,44.2,21,7,113.89
829,0,216,0,0,0,34.5,923,177,0,32.39,20,28,113.9
439.5,0,0,263.7,175.9,0,0,1273.4,175.8,195,43.9,21,28,113.93
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,195,45.9,21,7,114.09
612.4,0,43.7,262.5,0,0,0,1273.4,202.1,78,45.9,21,28,114.09
890,0,0,0,0,0,0,1231,178,0,30.2,21,90,114.1
912,0,255,0,0,0,38,873,189,0,31,23,7,114.3
792,0,0,0,0,0,8,1450.8,160,0,28.8,23,14,114.3
594.2,0,0,265.3,0,0,24.8,1282.3,176.9,156,44.2,21,7,114.44
756.75,0,50.45,0,0,201.8,0,1231,201.8,0,34.2,21,28,114.5
699.9,0,43.7,0,175,0,0,1273.4,202.1,156,45.9,21,7,114.77
623,0,0,0,0,267,0,1231,178,0,30.2,21,28,114.8
472,315,262,0,0,0,0,1049,178,156,21,20,7,114.9
741,0,185,259,0,0,0,815,185,0,9,30,3,115
472,315,262,0,0,0,0,1049,178,156,21,23,7,115
1009,0,0,0,0,0,0,1231,201.8,0,34.2,21,28,115.2
958.55,0,50.45,0,0,0,0,1231,201.8,0,34.2,21,28,115.4
800,0,0,0,0,0,0,1471.3,160,0,21.6,23,28,115.4
874.9,0,43.7,0,0,0,0,1273.4,202.1,39,45.9,21,28,115.44
900,0,165,0,0,55,0,1021,163,156,40,23,7,115.5
784,0,0,0,0,0,16,1430.2,160,0,36,23,14,115.6
700,0,50,0,0,150,0,1104,180,117,30,20,7,115.9
