compressive_strength
97.4
88.8
120.1
77.82
120.9
132.59
129.95
64.5
156.1
165.7
115.5
155.0
160.66
128.1
116.5
101.5
129.44
159.0
128.26
122.6
110.3
68.82
110.25
71.9
66.8
140.4
122.05
78.44
95.9
82.0
150.6
94.5
50.87
169.0
118.1
115.4
85.12
132.9
138.2
154.8
115.9
218.5
149.5
102.7
130.0
73.8
74.3
150.0
88.9
48.1
99.2
124.1
108.6
46.4
128.8
145.5
123.05
202.2
195.2
120.81
42.2
53.1
86.46
166.0
117.0
113.8
138.7
119.3
172.9
170.7
161.3
148.0
101.5
124.44
164.7
132.2
159.0
151.0
218.1
126.17
57.17
67.61
170.4
83.2
127.4
147.7
82.81
114.9
218.4
144.7
163.3
220.2
70.35
117.22
110.42
133.3
122.82
88.66
58.4
118.7
42.39
132.96
85.3
64.5
104.2
118.6
150.0
124.0
151.91
108.09
123.66
91.1
139.2
170.1
111.5
106.2
106.0
73.2
117.62
151.0
192.2
89.7
59.8
152.1
137.0
127.87
113.93
131.8
109.8
122.9
143.5
153.9
103.5
123.0
170.6
64.2
74.63
65.9
125.1
96.3
134.2
155.4
60.5
182.4
72.0
118.1
106.71
206.6
117.2
129.01
146.5
94.5
82.3
120.1
103.9
167.0
143.0
92.6
120.6
111.51
161.0
112.8
130.5
114.09
158.1
198.6
98.3
78.52
102.86
109.0
114.3
193.5
109.0
102.01
177.0
162.0
173.6
100.2
86.7
49.61
67.2
137.2
181.0
132.5
125.2
156.0
118.1
106.0
199.9
102.1
101.09
63.3
166.4
91.2
159.7
113.1
108.7
91.1
166.51
168.0
170.0
132.22
147.3
75.7
124.7
89.93
84.7
125.7
92.48
115.4
138.0
77.8
165.1
138.3
105.6
125.56
70.7
148.7
142.0
124.2
170.0
76.9
111.0
179.1
112.692
45.4
68.49
220.5
119.3
207.8
123.4
106.1
36.1
158.32
173.2
55.91
141.5
150.82
156.2
186.8
98.99
192.3
75.1
83.7
105.7
68.9
172.3
113.89
53.0
109.9
134.8
141.0
144.5
107.1
69.37
175.0
110.74
114.77
126.0
104.1
110.0
45.7
77.01
170.9
127.4
91.2
197.6
90.0
116.0
82.07
167.7
69.2
144.7
96.5
35.68
148.32
126.9
170.9
95.0
141.67
119.4
120.16
70.14
127.1
53.38
170.7
208.2
152.5
120.9
122.05
156.1
94.4
65.98
75.05
103.18
75.6
104.3
87.88
100.67
136.34
130.3
170.3
140.4
163.1
93.8
86.3
119.8
153.7
115.2
92.8
153.3
75.62
151.8
150.0
108.8
169.0
100.67
60.1
122.6
148.4
51.3
113.9
114.1
125.4
139.8
156.53
77.8
127.3
140.83
123.5
52.8
102.8
120.77
167.9
63.7
160.0
101.9
82.0
134.4
150.1
107.6
168.6
170.5
70.5
117.8
75.6
120.9
132.8
211.2
161.47
177.2
159.2
138.3
87.8
200.0
128.0
201.4
113.3
109.2
120.9
157.2
161.9
112.3
92.77
116.0
40.9
142.4
59.0
154.8
172.5
141.3
164.9
159.0
174.6
113.7
151.0
167.9
124.1
162.1
111.0
175.9
118.7
187.5
195.2
47.7
115.0
53.08
33.49
109.0
65.35
140.7
94.3
117.6
98.89
113.34
56.1
56.7
172.0
97.84
50.1
80.1
126.6
154.4
168.0
128.07
82.3
159.1
59.7
124.5
130.6
129.9
120.5
57.4
203.9
121.8
119.1
106.71
102.8
143.2
112.68
139.6
155.87
130.7
167.6
67.61
61.5
73.1
184.0
124.2
77.9
54.32
75.0
118.03
160.6
65.3
160.1
179.0
130.2
209.4
178.0
79.69
56.85
174.0
131.8
147.27
53.4
105.5
114.09
64.1
70.24
78.0
209.6
149.7
206.2
119.3
113.8
118.7
130.6
119.2
102.73
70.3
132.4
76.0
53.1
129.96
120.9
142.0
169.1
102.3
136.6
148.6
167.8
28.51
113.5
123.4
102.8
181.0
116.31
61.0
172.0
142.1
122.93
166.7
126.0
144.5
168.4
181.7
83.6
81.8
169.8
108.88
139.0
106.9
87.9
160.0
86.11
160.0
124.83
69.13
162.8
126.2
81.7
115.0
166.67
112.6
110.9
121.7
120.2
113.8
84.3
141.6
82.09
101.2
139.6
172.7
117.2
154.8
180.3
156.0
51.6
102.8
130.1
139.4
114.5
58.83
81.7
85.1
165.5
63.22
101.4
103.7
166.1
172.5
118.5
167.0
117.2
137.9
197.9
123.2
102.6
64.4
121.8
155.71
139.44
168.0
150.0
168.0
125.0
111.11
35.3
126.38
157.2
190.2
92.2
130.6
180.3
144.0
180.8
147.5
72.8
122.3
97.8
205.1
135.8
90.89
57.9
205.6
62.1
169.1
165.0
204.4
72.6
143.5
91.18
142.64
84.3
94.63
160.9
141.61
117.5
118.0
108.74
112.4
113.2
90.0
37.1
159.0
125.2
122.3
177.0
147.4
130.0
175.2
124.1
161.0
75.8
171.2
167.18
124.94
102.6
129.0
67.8
108.73
179.0
106.3
53.7
103.81
154.4
138.8
131.7
144.81
73.2
100.86
116.6
39.1
55.32
116.8
198.5
54.5
182.4
111.4
137.0
137.4
125.3
82.8
42.2
152.4
127.6
188.2
122.93
162.0
135.0
129.3
