cement,slag,silica_fume,limestone_powder,quartz_powder,fly_ash,nano_silica,aggregate,water,fiber,superplasticizer,temperature,age
741.0,0.0,185.0,0.0,259.0,0.0,0.0,815.0,185.0,156.0,9.0,30,3
667.5,0.0,44.5,0.0,0.0,178.0,0.0,1231.0,178.0,0.0,30.2,21,56
950.0,0.0,255.0,0.0,0.0,0.0,0.0,873.0,189.0,0.0,31.0,23,90
623.0,0.0,0.0,0.0,0.0,267.0,0.0,1231.0,178.0,0.0,30.2,21,90
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
558.1,62.0,114.2,0.0,0.0,164.9,0.0,1276.6,161.9,156.0,36.0,20,28
960.0,0.0,240.0,0.0,0.0,0.0,0.0,793.7,234.0,0.0,45.0,23,180
729.0,0.0,182.0,0.0,0.0,0.0,0.0,1150.0,182.0,156.0,27.0,20,28
756.75,0.0,50.45,0.0,0.0,201.8,0.0,1231.0,201.8,0.0,34.2,21,7
594.2,0.0,0.0,265.3,0.0,0.0,24.8,1282.3,176.9,156.0,44.2,21,28
960.0,0.0,240.0,0.0,0.0,0.0,0.0,771.9,234.0,58.5,45.0,23,56
720.0,0.0,220.0,0.0,0.0,180.0,0.0,998.0,163.0,156.0,40.0,23,28
741.0,0.0,185.0,64.75,194.25,0.0,0.0,815.0,185.0,156.0,9.0,30,28
630.0,0.0,220.0,0.0,0.0,270.0,0.0,994.0,163.0,156.0,40.0,23,56
788.5,0.0,433.7,0.0,0.0,0.0,0.0,867.4,160.3,117.0,52.6,23,28
612.4,0.0,43.7,262.5,0.0,0.0,0.0,1273.4,202.1,117.0,45.9,21,28
421.9,0.0,0.0,263.7,175.9,0.0,17.6,1273.4,175.8,0.0,43.9,21,3
850.0,0.0,150.0,0.0,0.0,0.0,0.0,1122.0,220.0,0.0,11.99,23,7
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,117.0,30.0,20,1
801.0,0.0,89.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,56
921.5,0.0,255.0,0.0,0.0,0.0,28.5,873.0,189.0,0.0,31.0,23,90
1251.2,0.0,291.3,0.0,0.0,0.0,0.0,407.8,201.4,0.0,28.2,23,1
472.0,315.0,262.0,0.0,0.0,0.0,0.0,1049.0,178.0,156.0,21.0,20,7
788.5,0.0,433.7,0.0,0.0,0.0,0.0,867.4,160.3,156.0,52.6,23,28
666.4,35.1,210.5,0.0,259.6,0.0,0.0,820.8,164.2,156.0,17.5,90,28
800.0,0.0,200.0,0.0,200.0,0.0,0.0,880.0,200.0,0.0,9.6,20,90
788.5,0.0,433.7,0.0,0.0,0.0,0.0,867.4,160.3,156.0,52.6,23,28
435.1,0.0,0.0,263.7,175.9,0.0,4.4,1273.4,175.8,195.0,43.9,21,3
594.2,0.0,0.0,265.3,0.0,0.0,24.8,1282.3,176.9,156.0,44.2,21,7
800.0,0.0,267.0,0.0,0.0,0.0,0.0,1067.0,175.0,78.0,21.3,20,7
784.0,0.0,0.0,0.0,0.0,0.0,16.0,1430.2,160.0,0.0,36.0,23,90
699.9,0.0,43.7,0.0,175.0,0.0,0.0,1273.4,202.1,195.0,45.9,21,7
426.3,0.0,0.0,263.7,175.9,0.0,13.2,1273.4,175.8,0.0,43.9,21,28
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1685.0,192.5,0.0,4.4,21,90
829.0,0.0,216.0,0.0,0.0,0.0,34.5,923.0,177.0,156.0,32.39,20,7
858.0,0.0,216.0,0.0,0.0,0.0,5.4,1079.0,177.0,0.0,21.6,23,1
594.2,0.0,0.0,265.3,0.0,0.0,24.8,1282.3,176.9,156.0,44.2,21,28
704.0,0.0,80.0,0.0,0.0,0.0,16.0,1379.8,160.0,0.0,44.8,23,3
600.0,150.0,144.0,0.0,0.0,200.0,0.0,990.0,182.0,0.0,36.0,20,3
950.0,0.0,255.0,0.0,0.0,0.0,0.0,873.0,189.0,0.0,31.0,23,7
712.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,90
270.0,180.0,90.0,360.0,0.0,0.0,0.0,1539.0,144.0,0.0,18.0,20,90
847.0,0.0,216.0,0.0,0.0,0.0,16.2,1079.0,177.0,0.0,21.6,23,28
777.0,0.0,155.0,233.0,0.0,0.0,0.0,816.0,169.0,78.0,40.64,23,90
858.0,0.0,216.0,0.0,0.0,0.0,5.4,1079.0,177.0,0.0,21.6,23,28
792.0,0.0,264.0,0.0,0.0,0.0,0.0,1056.0,173.0,156.0,21.1,20,7
829.0,0.0,216.0,0.0,0.0,0.0,34.5,923.0,177.0,0.0,32.39,20,7
912.0,0.0,255.0,0.0,0.0,0.0,38.0,873.0,189.0,0.0,31.0,23,28
666.4,35.1,210.5,0.0,259.6,0.0,0.0,820.8,164.2,156.0,17.5,200,28
776.0,0.0,0.0,0.0,0.0,0.0,24.0,1409.7,160.0,0.0,43.2,23,14
712.0,0.0,80.0,0.0,0.0,0.0,8.0,1400.3,160.0,0.0,37.6,23,7
784.0,0.0,261.0,0.0,0.0,0.0,0.0,1045.0,171.0,234.0,20.9,20,3
845.5,0.0,44.5,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,1
842.0,0.0,216.0,0.0,0.0,0.0,21.6,1079.0,177.0,0.0,21.6,23,28
365.0,365.0,183.0,0.0,0.0,0.0,0.0,1150.0,183.0,156.0,17.0,20,28
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,195.0,30.0,20,1
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1820.0,137.5,0.0,9.9,21,3
756.75,0.0,50.45,0.0,0.0,201.8,0.0,1231.0,201.8,0.0,34.2,21,90
810.0,0.0,90.0,0.0,0.0,0.0,0.0,1539.0,162.0,0.0,18.0,20,28
784.0,0.0,157.0,235.0,0.0,0.0,0.0,823.0,171.0,0.0,39.66,23,28
439.5,0.0,0.0,263.7,175.9,0.0,0.0,1273.4,175.8,195.0,43.9,21,28
704.0,0.0,80.0,0.0,0.0,0.0,16.0,1379.8,160.0,0.0,44.8,23,28
941.5,0.0,255.0,0.0,0.0,0.0,9.5,873.0,189.0,0.0,31.0,23,7
472.0,315.0,262.0,0.0,0.0,0.0,0.0,1049.0,178.0,156.0,21.0,20,28
472.0,315.0,262.0,0.0,0.0,0.0,0.0,1049.0,178.0,156.0,21.0,23,28
434.1,186.0,114.2,0.0,0.0,164.9,0.0,1275.0,161.9,156.0,36.0,20,14
863.2,0.0,215.8,0.0,0.0,0.0,0.0,1079.0,177.0,0.0,21.6,20,28
900.0,0.0,165.0,0.0,0.0,55.0,0.0,1021.0,163.0,156.0,40.0,23,14
1151.11,0.0,211.89,0.0,0.0,0.0,0.0,1231.0,272.6,234.0,46.2,90,28
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1754.0,165.0,0.0,6.6,21,28
850.0,0.0,150.0,0.0,0.0,0.0,0.0,1224.0,180.0,0.0,11.99,23,7
541.75,0.0,0.0,0.0,0.0,0.0,8.25,1678.0,192.5,0.0,6.6,21,90
720.0,0.0,220.0,0.0,0.0,180.0,0.0,998.0,163.0,156.0,40.0,23,14
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,39.0,30.0,20,7
620.2,0.0,114.2,0.0,0.0,164.9,0.0,1277.5,161.9,156.0,36.0,20,7
931.0,0.0,200.0,0.0,350.0,0.0,19.0,690.0,230.0,234.0,53.0,20,28
600.0,0.0,200.0,0.0,0.0,0.0,0.0,1434.0,160.0,0.0,9.6,23,7
960.0,0.0,240.0,0.0,0.0,0.0,0.0,740.7,234.0,156.0,45.0,23,180
720.0,0.0,180.0,0.0,0.0,0.0,0.0,1353.6,162.0,0.0,10.8,23,7
890.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,90
699.9,0.0,43.7,0.0,175.0,0.0,0.0,1273.4,202.1,39.0,45.9,21,28
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
623.0,0.0,0.0,0.0,0.0,267.0,0.0,1231.0,178.0,0.0,30.2,21,56
594.2,0.0,0.0,265.3,0.0,0.0,24.8,1282.3,176.9,156.0,44.2,21,28
800.0,0.0,200.0,0.0,100.0,0.0,0.0,980.0,200.0,0.0,9.6,20,28
472.0,315.0,262.0,0.0,0.0,0.0,0.0,1049.0,178.0,0.0,21.0,23,7
525.0,225.0,144.0,0.0,0.0,200.0,0.0,990.0,182.0,0.0,36.0,20,7
845.5,0.0,44.5,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,56
800.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.3,160.0,0.0,21.6,23,3
630.0,0.0,70.0,0.0,0.0,0.0,0.0,1788.0,126.0,0.0,18.0,20,180
900.0,0.0,220.0,0.0,0.0,0.0,0.0,1005.0,163.0,156.0,40.0,23,28
857.8,0.0,215.8,0.0,0.0,0.0,5.4,1079.0,177.0,0.0,21.6,20,7
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,156.0,30.0,20,7
680.0,0.0,120.0,0.0,0.0,0.0,0.0,1468.8,160.0,0.0,8.02,23,28
450.0,180.0,90.0,180.0,0.0,0.0,0.0,1539.0,144.0,0.0,18.0,20,56
667.5,0.0,44.5,0.0,0.0,178.0,0.0,1231.0,178.0,0.0,30.2,21,28
558.1,62.0,114.2,0.0,0.0,164.9,0.0,1276.6,161.9,156.0,36.0,20,7
612.4,0.0,43.7,262.5,0.0,0.0,0.0,1273.4,202.1,78.0,45.9,21,28
950.0,0.0,234.0,0.0,95.0,0.0,0.0,1030.0,215.0,234.0,12.7,23,28
788.5,0.0,433.7,0.0,0.0,0.0,0.0,867.4,160.3,39.0,52.6,23,28
472.0,315.0,262.0,0.0,0.0,0.0,0.0,1049.0,178.0,0.0,21.0,23,28
612.4,0.0,43.7,262.5,0.0,0.0,0.0,1273.4,202.1,0.0,45.9,21,7
792.0,0.0,264.0,0.0,0.0,0.0,0.0,1056.0,173.0,156.0,21.1,20,3
647.0,0.0,216.0,0.0,0.0,216.0,0.0,923.0,177.0,0.0,32.37,20,28
912.0,0.0,255.0,0.0,0.0,0.0,38.0,873.0,189.0,0.0,31.0,23,7
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
647.0,216.0,216.0,0.0,0.0,0.0,0.0,923.0,177.0,0.0,32.37,20,28
699.9,0.0,43.7,0.0,175.0,0.0,0.0,1273.4,202.1,78.0,45.9,21,7
810.0,0.0,90.0,0.0,0.0,0.0,0.0,1539.0,162.0,0.0,18.0,20,365
745.0,0.0,186.0,0.0,0.0,181.0,0.0,1118.0,171.35,0.0,27.0,20,28
960.0,0.0,240.0,0.0,0.0,0.0,0.0,767.2,234.0,78.0,45.0,23,90
796.0,0.0,0.0,0.0,0.0,0.0,4.0,1461.1,160.0,0.0,25.2,23,3
647.0,216.0,216.0,0.0,0.0,0.0,0.0,923.0,177.0,0.0,32.37,20,7
439.5,0.0,0.0,263.7,175.9,0.0,0.0,1273.4,175.8,0.0,43.9,21,3
550.0,0.0,0.0,0.0,0.0,0.0,0.0,1762.0,165.0,0.0,3.85,21,28
902.5,0.0,200.0,0.0,350.0,0.0,47.5,810.0,230.0,234.0,53.0,20,28
778.0,0.0,194.0,0.0,0.0,189.0,0.0,1167.0,178.94,0.0,28.0,20,28
950.0,0.0,255.0,0.0,0.0,0.0,0.0,873.0,189.0,0.0,31.0,23,28
675.0,75.0,144.0,0.0,0.0,200.0,0.0,990.0,182.0,0.0,38.0,20,28
647.0,0.0,216.0,0.0,0.0,216.0,0.0,923.0,177.0,156.0,32.37,20,28
960.0,0.0,240.0,0.0,0.0,0.0,0.0,786.4,234.0,19.5,45.0,23,7
809.0,0.0,270.0,0.0,0.0,0.0,0.0,1079.0,177.0,0.0,21.6,20,28
850.0,0.0,260.0,0.0,212.0,0.0,0.0,850.0,170.0,156.0,45.0,23,28
852.4,0.0,215.8,0.0,0.0,0.0,10.8,1079.0,177.0,0.0,21.6,20,7
